Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
1000	-13304.9	-13128.2	-176.701	0.255312	0.255312	0.0421267	0.145902	0.00236863	0.0705522	0.512555	3.41452	18.5729	0.362429	0.356962	0.0629478	0.217662	95.9637	0.188029	0.145902
1010	-13304.1	-13127.6	-176.481	0.259797	0.259797	0.0478188	0.172414	0.00260016	0.073851	0.521696	3.40185	17.5956	0.369829	0.349614	0.0642782	0.216279	92.6614	0.220233	0.172414
1020	-13308.6	-13131.5	-177.105	0.274806	0.274806	0.0423245	0.0870029	0.00347459	0.0851015	0.550965	3.36046	18.9175	0.365508	0.357598	0.0604991	0.216395	90.9515	0.129327	0.0870029
1030	-13305.8	-13127.3	-178.427	0.246335	0.246335	0.0593627	0.0654608	0.0019453	0.0640559	0.493692	3.44031	16.2276	0.361571	0.359413	0.0615228	0.217493	95.812	0.124824	0.0654608
1040	-13297.4	-13119.6	-177.789	0.244936	0.244936	0.038192	0.128393	0.0018841	0.0630582	0.490685	3.44437	18.4496	0.349048	0.365117	0.0630394	0.222796	99.4081	0.166585	0.128393
1050	-13310	-13133.6	-176.426	0.253333	0.253333	0.0474727	0.143362	0.00227073	0.069107	0.508461	3.42016	14.6357	0.341171	0.367559	0.0612089	0.23006	91.7973	0.190834	0.143362
1060	-13310.9	-13132.4	-178.527	0.265208	0.265208	0.0308673	0.122259	0.00289755	0.0778718	0.532478	3.38675	16.1087	0.357197	0.368272	0.0625214	0.212009	99.2781	0.153126	0.122259
1070	-13301.8	-13124.2	-177.597	0.254351	0.254351	0.0366117	0.116741	0.00232075	0.0698494	0.510571	3.41726	16.8952	0.339791	0.373411	0.0626666	0.224131	95.7901	0.153353	0.116741
1080	-13308.6	-13129.7	-178.813	0.246173	0.246173	0.0565596	0.132996	0.00193815	0.0639401	0.493344	3.44078	16.5401	0.336767	0.378989	0.0621088	0.222136	98.2463	0.189556	0.132996
1090	-13311.5	-13134.2	-177.259	0.235871	0.235871	0.0374964	0.147309	0.00151736	0.0566932	0.470727	3.47106	16.4015	0.364533	0.342997	0.0662652	0.226205	93.3276	0.184806	0.147309
1100	-13303.7	-13126.7	-176.988	0.25479	0.25479	0.0373827	0.232414	0.00234257	0.0701706	0.511479	3.41601	16.3574	0.35923	0.362919	0.0640593	0.213791	99.3834	0.269797	0.232414
1110	-13305.9	-13129.1	-176.808	0.260887	0.260887	0.0566584	0.0579706	0.00265847	0.0746575	0.52389	3.39879	16.7787	0.356809	0.364291	0.0643013	0.214599	95.0091	0.114629	0.0579706
1120	-13301.7	-13123.7	-178.026	0.241332	0.241332	0.055097	0.0843798	0.00173212	0.0605057	0.482847	3.45492	18.3185	0.359549	0.37045	0.0622496	0.207752	97.9822	0.139477	0.0843798
1130	-13304.7	-13126.7	-178.012	0.26464	0.26464	0.0427386	0.0621889	0.00286542	0.0774481	0.53136	3.38833	16.063	0.352672	0.358515	0.066211	0.222603	99.3003	0.104928	0.0621889
1140	-13306.5	-13127.9	-178.599	0.255078	0.255078	0.0404269	0.195208	0.00235692	0.070381	0.512073	3.41519	17.542	0.371023	0.347082	0.0663913	0.215504	97.2396	0.235635	0.195208
1150	-13305	-13126	-178.925	0.249041	0.249041	0.0503429	0.142296	0.00206735	0.0659981	0.499459	3.43248	17.2414	0.362697	0.358449	0.0643315	0.214522	98.4474	0.192639	0.142296
1160	-13306.8	-13129.3	-177.487	0.252988	0.252988	0.0528148	0.0874827	0.00225395	0.0688562	0.507745	3.42115	15.6869	0.351808	0.35896	0.0639035	0.225329	98.283	0.140298	0.0874827
1170	-13301.2	-13124.6	-176.652	0.261907	0.261907	0.049726	0.046657	0.00271375	0.0754136	0.525932	3.39594	15.4404	0.353852	0.361045	0.061179	0.223923	92.9805	0.096383	0.046657
1180	-13298	-13121.6	-176.436	0.2616	0.2616	0.0454576	0.184606	0.00269704	0.0751859	0.525318	3.3968	16.032	0.350857	0.366515	0.0606005	0.222028	98.1485	0.230064	0.184606
